         1005618 function calls (987576 primitive calls) in 137.339 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     8804    0.002    0.000    0.002    0.000 {method 'rpartition' of 'str' objects}
     1226    0.002    0.000    0.059    0.000 re.py:286(_compile)
     3254    0.002    0.000    0.003    0.000 version.py:114(_parse_version_parts)
    857/2    0.002    0.000    0.756    0.378 <frozen importlib._bootstrap_external>:672(exec_module)
    11424    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
      901    0.002    0.000    0.005    0.000 copy.py:66(copy)
     2757    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
      857    0.001    0.000    0.072    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
      374    0.001    0.000    0.013    0.000 __init__.py:2546(from_location)
      105    0.001    0.000    0.001    0.000 {built-in method builtins.dir}
     3726    0.001    0.000    0.002    0.000 version.py:65(_compare)
     2354    0.001    0.000    0.001    0.000 op_def_library.py:71(_NumTypeFields)
      734    0.001    0.000    0.002    0.000 posixpath.py:73(join)
       17    0.001    0.000    0.003    0.000 enum.py:124(__new__)
     3753    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
      748    0.001    0.000    0.021    0.000 __init__.py:2092(distributions_from_metadata)
  543/172    0.001    0.000    0.026    0.000 sre_parse.py:407(_parse_sub)
     3009    0.001    0.000    0.002    0.000 {built-in method builtins.any}
    10421    0.001    0.000    0.001    0.000 {method 'group' of '_sre.SRE_Match' objects}
  924/910    0.001    0.000    0.086    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
       45    0.001    0.000    0.003    0.000 inspect.py:317(getmembers)
      918    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:361(_get_cached)
     1158    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:176(cb)
       50    0.001    0.000    0.022    0.000 {built-in method builtins.sorted}
      406    0.001    0.000    0.017    0.000 __init__.py:2159(_handle_ns)
     2087    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1080(_path_importer_cache)
