         1005618 function calls (987576 primitive calls) in 137.339 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 ops.py:5(<module>)
      101    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
        1    0.000    0.000    0.000    0.000 process.py:10(<module>)
        1    0.000    0.000    0.006    0.006 gen_nn_ops.py:4(<module>)
        1    0.000    0.000    0.000    0.000 compat.py:185(<dictcomp>)
       58    0.000    0.000    0.000    0.000 colors.py:128(to_rgba)
       58    0.000    0.000    0.002    0.000 pyparsing.py:3321(<listcomp>)
       29    0.000    0.000    0.000    0.000 pyparsing.py:1567(resetCache)
       47    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha1}
       30    0.000    0.000    0.000    0.000 __init__.py:1935(find_distributions)
      231    0.000    0.000    0.000    0.000 enum.py:592(name)
        1    0.000    0.000    0.004    0.004 local.py:3(<module>)
        1    0.000    0.000    0.000    0.000 core.py:2707(MaskedArray)
        1    0.000    0.000    0.004    0.004 feature_column.py:124(<module>)
       19    0.000    0.000    0.000    0.000 deprecation.py:36(_add_deprecated_function_notice_to_docstring)
        1    0.000    0.000    0.000    0.000 compat.py:3(<module>)
       64    0.000    0.000    0.000    0.000 pyparsing.py:1069(wrapper)
        1    0.000    0.000    0.002    0.002 window.py:7(<module>)
       18    0.000    0.000    0.000    0.000 _decorators.py:64(_deprecate_kwarg)
       26    0.000    0.000    0.000    0.000 core.py:6558(getdoc)
        2    0.000    0.000    0.003    0.001 main.py:1(<module>)
      137    0.000    0.000    0.000    0.000 expr.py:145(<lambda>)
      376    0.000    0.000    0.000    0.000 pyparsing.py:2656(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:885(RcParams)
     39/1    0.000    0.000    0.000    0.000 copy.py:132(deepcopy)
        1    0.000    0.000    0.001    0.001 groupby.py:2806(SeriesGroupBy)
        1    0.000    0.000    0.003    0.003 worksheet.py:9(<module>)
        1    0.000    0.000    0.006    0.006 variable_scope.py:16(<module>)
        1    0.000    0.000    0.001    0.001 excel.py:3(<module>)
        1    0.000    0.000    0.000    0.000 moments.py:4(<module>)
       70    0.000    0.000    0.001    0.000 colors.py:113(is_color_like)
    33/10    0.000    0.000    0.003    0.000 pyparsing.py:3772(leaveWhitespace)
        1    0.000    0.000    0.006    0.006 shutil.py:5(<module>)
        4    0.000    0.000    0.010    0.002 util.py:1(<module>)
       12    0.000    0.000    0.000    0.000 generic.py:6347(_make_stat_function_ddof)
       27    0.000    0.000    0.000    0.000 offsets.py:51(apply_wraps)
       47    0.000    0.000    0.000    0.000 ipaddress.py:158(_split_optional_netmask)
        1    0.000    0.000    0.009    0.009 lookup_ops.py:15(<module>)
        1    0.000    0.000    0.003    0.003 control_flow_grad.py:16(<module>)
       39    0.000    0.000    0.002    0.000 descriptor.py:819(__new__)
       10    0.000    0.000    0.000    0.000 _make.py:962(append_hash_computation_lines)
        1    0.000    0.000    0.000    0.000 merge.py:3(<module>)
        1    0.000    0.000    0.002    0.002 panel.py:3(<module>)
      166    0.000    0.000    0.000    0.000 pyparsing.py:3299(<genexpr>)
       14    0.000    0.000    0.000    0.000 pyparsing.py:420(__setitem__)
      195    0.000    0.000    0.000    0.000 pyparsing.py:3392(<genexpr>)
       46    0.000    0.000    0.000    0.000 {method 'hexdigest' of '_hashlib.HASH' objects}
        1    0.000    0.000    0.000    0.000 timedeltas.py:83(TimedeltaIndex)
        7    0.000    0.000    0.002    0.000 ops.py:170(add_special_arithmetic_methods)
        1    0.000    0.000    0.012    0.012 __init__.py:26(<module>)
        1    0.000    0.000    0.003    0.003 nn_ops.py:15(<module>)
        1    0.000    0.000    0.026    0.026 variables.py:15(<module>)
        1    0.000    0.000    0.000    0.000 tf_logging.py:16(<module>)
        1    0.000    0.000    0.010    0.010 transforms.py:30(<module>)
        1    0.000    0.000    0.001    0.001 colors.py:57(<module>)
       24    0.000    0.000    0.000    0.000 pyparsing.py:3968(parseImpl)
      362    0.000    0.000    0.000    0.000 __init__.py:2563(_reload_version)
       77    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
       61    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:908(__init__)
        2    0.000    0.000    0.007    0.003 __init__.py:45(<module>)
       17    0.000    0.000    0.004    0.000 pyparsing.py:1608(parseString)
        1    0.000    0.000    0.000    0.000 period.py:125(PeriodIndex)
        1    0.000    0.000    0.002    0.002 packager.py:9(<module>)
        1    0.000    0.000    0.008    0.008 client.py:69(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
        1    0.000    0.000    0.001    0.001 context.py:1(<module>)
      163    0.000    0.000    0.000    0.000 {method 'AddDescriptor' of 'google.protobuf.pyext._message.DescriptorPool' objects}
        1    0.000    0.000    0.000    0.000 colors.py:73(__init__)
    34/26    0.000    0.000    0.000    0.000 pyparsing.py:3463(__str__)
        1    0.000    0.000    0.001    0.001 pyparsing.py:4904(_makeTags)
        1    0.000    0.000    0.000    0.000 function.py:19(<module>)
        1    0.000    0.000    0.001    0.001 pyparsing.py:4875(_makeTags)
      113    0.000    0.000    0.000    0.000 inspect.py:159(isfunction)
       25    0.000    0.000    0.000    0.000 posixpath.py:367(abspath)
        8    0.000    0.000    0.000    0.000 generic.py:6402(_make_logical_function)
        1    0.000    0.000    0.000    0.000 interval.py:95(IntervalIndex)
        1    0.000    0.000    0.008    0.008 distributions.py:15(<module>)
        1    0.000    0.000    0.005    0.005 gen_sparse_ops.py:4(<module>)
        1    0.000    0.000    0.005    0.005 gen_array_ops.py:4(<module>)
        1    0.000    0.000    0.000    0.000 error_codes_pb2.py:4(<module>)
        1    0.000    0.000    0.000    0.000 more.py:1(<module>)
        1    0.000    0.000    0.030    0.030 pytest.py:4(<module>)
        1    0.000    0.000    0.004    0.004 reshape.py:3(<module>)
        1    0.000    0.000    0.001    0.001 ops.py:2(<module>)
        1    0.000    0.000    0.000    0.000 accessors.py:3(<module>)
        3    0.000    0.000    0.000    0.000 gettext.py:466(find)
        1    0.000    0.000    0.011    0.011 timedeltas.py:1(<module>)
        1    0.000    0.000    0.001    0.001 type_checkers.py:44(<module>)
        1    0.000    0.000    0.007    0.007 tensor_array_grad.py:15(<module>)
        1    0.000    0.000    0.000    0.000 tensor_util.py:16(<module>)
        1    0.000    0.000    0.003    0.003 doctest.py:46(<module>)
       17    0.000    0.000    0.002    0.000 _make.py:654(add_init)
        1    0.000    0.000    0.000    0.000 __init__.py:1157(<listcomp>)
        1    0.000    0.000    0.000    0.000 categorical.py:170(Categorical)
       16    0.000    0.000    0.001    0.000 __init__.py:2297(normalize_path)
        6    0.000    0.000    0.000    0.000 gettext.py:205(_expand_lang)
       72    0.000    0.000    0.000    0.000 codecs.py:259(__init__)
        2    0.000    0.000    0.002    0.001 __init__.py:10(<module>)
        1    0.000    0.000    0.001    0.001 period.py:2(<module>)
        1    0.000    0.000    0.000    0.000 multi.py:3(<module>)
        1    0.000    0.000    0.003    0.003 cast.py:1(<module>)
       68    0.000    0.000    0.000    0.000 ipaddress.py:1251(__init__)
        2    0.000    0.000    0.004    0.002 __init__.py:15(<module>)
        1    0.000    0.000    0.003    0.003 index_tricks.py:1(<module>)
       30    0.000    0.000    0.000    0.000 getlimits.py:26(_fr1)
        1    0.000    0.000    0.000    0.000 pathlib.py:107(_WindowsFlavour)
        1    0.000    0.000    0.020    0.020 io_ops.py:66(<module>)
        1    0.000    0.000    0.004    0.004 gen_data_flow_ops.py:4(<module>)
        1    0.000    0.000    0.003    0.003 gen_math_ops.py:4(<module>)
        1    0.000    0.000    0.001    0.001 series.py:4(<module>)
        1    0.000    0.000    0.001    0.001 panelnd.py:8(create_nd_panel_factory)
      115    0.000    0.000    0.000    0.000 expr.py:157(<lambda>)
        1    0.000    0.000    0.001    0.001 fontconfig_pattern.py:71(__init__)
       61    0.000    0.000    0.002    0.000 pyparsing.py:3292(<listcomp>)
       15    0.000    0.000    0.000    0.000 pyparsing.py:4565(_escapeRegexRangeChars)
      105    0.000    0.000    0.000    0.000 inspect.py:81(ismethod)
        1    0.000    0.000    0.001    0.001 parse.py:28(<module>)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
       48    0.000    0.000    0.000    0.000 traceback.py:269(__getitem__)
      190    0.000    0.000    0.000    0.000 pyparsing.py:203(<genexpr>)
       22    0.000    0.000    0.001    0.000 pyparsing.py:1204(setResultsName)
       71    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
        1    0.000    0.000    0.001    0.001 array.py:3(<module>)
        1    0.000    0.000    0.000    0.000 encoder.py:2(<module>)
        3    0.000    0.000    0.000    0.000 argparse.py:1222(__init__)
        1    0.000    0.000    0.004    0.004 sparse_grad.py:16(<module>)
        1    0.000    0.000    0.002    0.002 errors_impl.py:15(<module>)
        1    0.000    0.000    0.000    0.000 text_encoding.py:49(<listcomp>)
        1    0.000    0.000    0.000    0.000 series.py:88(SparseSeries)
      138    0.000    0.000    0.000    0.000 expr.py:147(<genexpr>)
       34    0.000    0.000    0.001    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedRandom' objects}
        1    0.000    0.000    0.000    0.000 offsets.py:2812(Hour)
        5    0.000    0.000    0.000    0.000 base.py:3761(_add_numeric_methods_disabled)
        2    0.000    0.000    0.000    0.000 missing.py:3(<module>)
        1    0.000    0.000    0.001    0.001 npyio.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pickle.py:181(<listcomp>)
        1    0.000    0.000    0.001    0.001 pickle.py:24(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:332(__init__)
        1    0.000    0.000    0.004    0.004 parquet.py:18(<module>)
        4    0.000    0.000    0.001    0.000 deprecation.py:219(deprecated_wrapper)
        5    0.000    0.000    0.004    0.001 ops.py:2039(__call__)
        1    0.000    0.000    0.000    0.000 text_encoding.py:84(<listcomp>)
        1    0.000    0.000    0.001    0.001 hookspec.py:1(<module>)
        2    0.000    0.000    0.001    0.000 rcsetup.py:805(validate_cycler)
       54    0.000    0.000    0.000    0.000 rcsetup.py:67(__call__)
        1    0.000    0.000    0.000    0.000 sysconfig.py:1(<module>)
        1    0.000    0.000    0.000    0.000 opcode.py:5(<module>)
        1    0.000    0.000    0.003    0.003 plistlib.py:47(<module>)
      112    0.000    0.000    0.000    0.000 {built-in method _struct.unpack}
       81    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
      227    0.000    0.000    0.000    0.000 {method 'items' of 'collections.OrderedDict' objects}
        2    0.000    0.000    0.004    0.002 generic.py:6180(_add_series_or_dataframe_operations)
        1    0.000    0.000    0.000    0.000 offsets.py:2807(Day)
       12    0.000    0.000    0.000    0.000 printing.py:157(pprint_thing)
        7    0.000    0.000    0.000    0.000 parser.py:294(_convert)
        2    0.000    0.000    0.000    0.000 lazy.py:80(__new__)
        1    0.000    0.000    0.002    0.002 __init__.py:88(<module>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:332(<dictcomp>)
        1    0.000    0.000    0.005    0.005 _internal.py:6(<module>)
        1    0.000    0.000    0.001    0.001 connection.py:10(<module>)
        1    0.000    0.000    0.000    0.000 reduction.py:10(<module>)
        1    0.000    0.000    0.000    0.000 convolutional.py:18(<module>)
        1    0.000    0.000    0.001    0.001 saver.py:17(<module>)
        1    0.000    0.000    0.062    0.062 estimator.py:16(<module>)
        1    0.000    0.000    0.000    0.000 data_flow_ops.py:16(<module>)
        1    0.000    0.000    0.009    0.009 function.py:18(<module>)
      152    0.000    0.000    0.000    0.000 pyparsing.py:2052(leaveWhitespace)
       20    0.000    0.000    0.000    0.000 rcsetup.py:359(validate_color_for_prop_cycle)
       30    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
       36    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
       17    0.000    0.000    0.001    0.000 posixpath.py:382(realpath)
        2    0.000    0.000    0.000    0.000 {built-in method posix.open}
        8    0.000    0.000    0.000    0.000 base.py:3956(_make_logical_function)
        2    0.000    0.000    0.000    0.000 lazy.py:135(__new__)
        1    0.000    0.000    0.000    0.000 mock.py:35(<setcomp>)
        1    0.000    0.000    0.002    0.002 image_ops_impl.py:16(<module>)
        1    0.000    0.000    0.003    0.003 image_ops.py:65(<module>)
        1    0.000    0.000    0.003    0.003 basic_session_run_hooks.py:26(<module>)
        1    0.000    0.000    0.001    0.001 json_format.py:41(<module>)
        1    0.000    0.000    0.003    0.003 parsing_ops.py:16(<module>)
       15    0.000    0.000    0.000    0.000 math_ops.py:840(_OverrideBinaryOperatorHelper)
        1    0.000    0.000    0.000    0.000 text_encoding.py:37(<listcomp>)
      119    0.000    0.000    0.000    0.000 descriptor.py:651(__new__)
        1    0.000    0.000    0.000    0.000 python_api.py:1(<module>)
        1    0.000    0.000    0.001    0.001 structures.py:1(<module>)
       32    0.000    0.000    0.000    0.000 _make.py:1428(fmt_setter)
        1    0.000    0.000    0.001    0.001 frame.py:4(<module>)
        1    0.000    0.000    0.000    0.000 resample.py:33(Resampler)
       16    0.000    0.000    0.000    0.000 pyparsing.py:3569(__init__)
       44    0.000    0.000    0.000    0.000 pyparsing.py:3610(<genexpr>)
       25    0.000    0.000    0.000    0.000 pyparsing.py:4026(__init__)
        2    0.000    0.000    0.000    0.000 pyparsing.py:1103(ParserElement)
       11    0.000    0.000    0.000    0.000 cbook.py:52(_generate_deprecation_message)
        1    0.000    0.000    0.004    0.004 categorical.py:3(<module>)
        1    0.000    0.000    0.002    0.002 hashlib.py:54(<module>)
       12    0.000    0.000    0.001    0.000 __init__.py:2516(_version_from_file)
       96    0.000    0.000    0.000    0.000 enum.py:820(_high_bit)
        4    0.000    0.000    0.000    0.000 weakref.py:102(__init__)
    13/12    0.000    0.000    0.018    0.002 <frozen importlib._bootstrap>:622(_load_backward_compatible)
       14    0.000    0.000    0.000    0.000 six.py:91(__get__)
       18    0.000    0.000    0.000    0.000 ops.py:1352(_comp_method_PANEL)
      166    0.000    0.000    0.000    0.000 ipaddress.py:417(_check_int_address)
        1    0.000    0.000    0.003    0.003 case.py:1(<module>)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:3(<module>)
        8    0.000    0.000    0.000    0.000 numeric.py:2491(seterr)
       23    0.000    0.000    0.000    0.000 numerictypes.py:216(_evalname)
        1    0.000    0.000    0.000    0.000 numerictypes.py:285(_add_types)
        1    0.000    0.000    0.004    0.004 test_util.py:17(<module>)
        1    0.000    0.000    0.001    0.001 layers.py:34(<module>)
        1    0.000    0.000    0.011    0.011 gradients_impl.py:15(<module>)
       12    0.000    0.000    0.000    0.000 ops.py:902(register_tensor_conversion_function)
        9    0.000    0.000    0.000    0.000 moments.py:457(_rolling_func)
      158    0.000    0.000    0.000    0.000 pyparsing.py:3421(<genexpr>)
       26    0.000    0.000    0.001    0.000 pyparsing.py:4032(parseImpl)
       65    0.000    0.000    0.000    0.000 pyparsing.py:506(haskeys)
     24/4    0.000    0.000    0.000    0.000 pyparsing.py:1926(makeOptionalList)
       24    0.000    0.000    0.000    0.000 rcsetup.py:65(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1200(<listcomp>)
        6    0.000    0.000    0.000    0.000 groupby.py:1136(groupby_function)
        2    0.000    0.000    0.000    0.000 pyparsing.py:2863(__init__)
       73    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
        1    0.000    0.000    0.002    0.002 threading.py:1(<module>)
        1    0.000    0.000    0.006    0.006 zipfile.py:5(<module>)
       77    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
      385    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        1    0.000    0.000    0.001    0.001 datetimelike.py:3(<module>)
        1    0.000    0.000    0.001    0.001 strings.py:1(<module>)
        1    0.000    0.000    0.001    0.001 groupby.py:3965(DataFrameGroupBy)
        1    0.000    0.000    0.022    0.022 api.py:1(<module>)
        1    0.000    0.000    0.001    0.001 tz.py:9(<module>)
       18    0.000    0.000    0.000    0.000 getlimits.py:532(max)
        1    0.000    0.000    0.008    0.008 __init__.py:7(<module>)
        1    0.000    0.000    0.002    0.002 logging_ops.py:16(<module>)
        1    0.000    0.000    0.003    0.003 spectral_grad.py:15(<module>)
        1    0.000    0.000    0.000    0.000 sparse_ops.py:43(<module>)
        1    0.000    0.000    0.005    0.005 data_flow_grad.py:16(<module>)
        1    0.000    0.000    0.003    0.003 resource_variable_ops.py:15(<module>)
        1    0.000    0.000    0.000    0.000 json.py:2(<module>)
        1    0.000    0.000    0.000    0.000 pytables.py:1(<module>)
       12    0.000    0.000    0.000    0.000 pyparsing.py:4786(<lambda>)
       38    0.000    0.000    0.000    0.000 pyparsing.py:4230(__init__)
       12    0.000    0.000    0.003    0.000 pyparsing.py:4251(__init__)
       19    0.000    0.000    0.000    0.000 version.py:331(_cmp)
       17    0.000    0.000    0.000    0.000 enum.py:65(__init__)
        8    0.000    0.000    0.000    0.000 sre_compile.py:381(_bytes_to_codes)
        1    0.000    0.000    0.000    0.000 offsets.py:2837(Nano)
        1    0.000    0.000    0.000    0.000 datetimes.py:1(<module>)
        6    0.000    0.000    0.003    0.001 ops.py:239(add_flex_arithmetic_methods)
        1    0.000    0.000    0.002    0.002 config.py:49(<module>)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1735(_parse_hextet)
       25    0.000    0.000    0.000    0.000 ipaddress.py:476(_prefix_from_prefix_string)
       27    0.000    0.000    0.000    0.000 core.py:917(__init__)
        2    0.000    0.000    0.000    0.000 core.py:2928(__array_finalize__)
        1    0.000    0.000    0.000    0.000 chebyshev.py:88(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:120(<listcomp>)
        1    0.000    0.000    0.000    0.000 python_io.py:24(<module>)
       40    0.000    0.000    0.000    0.000 enum_type_wrapper.py:74(values)
        9    0.000    0.000    0.001    0.000 _make.py:645(add_hash)
       14    0.000    0.000    0.000    0.000 expr.py:150(_filter_nodes)
        1    0.000    0.000    0.010    0.010 ticker.py:167(<module>)
     23/7    0.000    0.000    0.000    0.000 pyparsing.py:3791(streamline)
       11    0.000    0.000    0.000    0.000 pyparsing.py:4594(_escapeRegexRangeChars)
       12    0.000    0.000    0.000    0.000 fontconfig_pattern.py:138(_family)
       84    0.000    0.000    0.000    0.000 rcsetup.py:156(validate_float)
       22    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.empty}
        6    0.000    0.000    0.018    0.003 __init__.py:35(load_module)
       21    0.000    0.000    0.000    0.000 inspect.py:2434(__init__)
        1    0.000    0.000    0.000    0.000 ast.py:26(<module>)
        1    0.000    0.000    0.001    0.001 subprocess.py:588(__init__)
       28    0.000    0.000    0.022    0.001 __init__.py:1979(_by_version_descending)
       31    0.000    0.000    0.000    0.000 version.py:312(<listcomp>)
       29    0.000    0.000    0.000    0.000 os.py:742(encode)
        2    0.000    0.000    0.000    0.000 concat.py:3(<module>)
       30    0.000    0.000    0.000    0.000 pyparsing.py:2751(charsAsStr)
        1    0.000    0.000    0.000    0.000 indexing.py:3(<module>)
        1    0.000    0.000    0.000    0.000 offsets.py:2822(Second)
        1    0.000    0.000    0.001    0.001 category.py:1(<module>)
        5    0.000    0.000    0.000    0.000 base.py:3914(_add_numeric_methods_unary)
        1    0.000    0.000    0.000    0.000 generic.py:1(<module>)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1613(_make_netmask)
        1    0.000    0.000    0.000    0.000 linalg.py:10(<module>)
       34    0.000    0.000    0.000    0.000 argparse.py:1274(register)
        1    0.000    0.000    0.000    0.000 util.py:10(<module>)
        1    0.000    0.000    0.000    0.000 supervisor.py:15(<module>)
        1    0.000    0.000    0.000    0.000 input.py:20(<module>)
        1    0.000    0.000    0.003    0.003 text_format.py:41(<module>)
        1    0.000    0.000    0.008    0.008 summary.py:34(<module>)
        1    0.000    0.000    0.003    0.003 string_ops.py:30(<module>)
        1    0.000    0.000    0.015    0.015 gen_io_ops.py:4(<module>)
       23    0.000    0.000    0.000    0.000 deprecation.py:59(_validate_deprecation_args)
        1    0.000    0.000    0.001    0.001 validators.py:3(<module>)
        1    0.000    0.000    0.000    0.000 path.py:31(Path)
        1    0.000    0.000    0.000    0.000 window.py:1570(EWM)
        1    0.000    0.000    0.000    0.000 groupby.py:359(_GroupBy)
     22/8    0.000    0.000    0.001    0.000 pyparsing.py:3737(parseImpl)
        1    0.000    0.000    0.000    0.000 token.py:74(<dictcomp>)
      160    0.000    0.000    0.000    0.000 enum.py:628(<lambda>)
        2    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
        4    0.000    0.000    0.000    0.000 uuid.py:106(__init__)
        1    0.000    0.000    0.000    0.000 offsets.py:2817(Minute)
        1    0.000    0.000    0.000    0.000 offsets.py:2827(Milli)
        1    0.000    0.000    0.000    0.000 offsets.py:2832(Micro)
      101    0.000    0.000    0.000    0.000 ssl.py:129(<lambda>)
       47    0.000    0.000    0.000    0.000 ipaddress.py:607(__init__)
        1    0.000    0.000    0.001    0.001 polynomial.py:56(<module>)
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:340(_add_integer_aliases)
        1    0.000    0.000    0.000    0.000 numerictypes.py:766(_construct_lookups)
       14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
        1    0.000    0.000    0.006    0.006 test.py:35(<module>)
       20    0.000    0.000    0.000    0.000 distribution.py:141(<listcomp>)
        1    0.000    0.000    0.000    0.000 encoder.py:65(<module>)
        1    0.000    0.000    0.014    0.014 monitored_session.py:16(<module>)
        1    0.000    0.000    0.072    0.072 estimator_lib.py:15(<module>)
        1    0.000    0.000    0.069    0.069 dnn.py:15(<module>)
        1    0.000    0.000    0.002    0.002 linalg_grad.py:25(<module>)
       39    0.000    0.000    0.000    0.000 {method 'AddFileDescriptor' of 'google.protobuf.pyext._message.DescriptorPool' objects}
       10    0.000    0.000    0.003    0.000 pyparsing.py:4280(__init__)
      140    0.000    0.000    0.000    0.000 rcsetup.py:60(func)
        1    0.000    0.000    0.000    0.000 series.py:139(__init__)
        1    0.000    0.000    0.003    0.003 base.py:3(<module>)
        1    0.000    0.000    0.001    0.001 fancy_getopt.py:9(<module>)
        3    0.000    0.000    0.000    0.000 compat.py:163(_iterate_python_module_paths)
        4    0.000    0.000    0.000    0.000 inspect.py:2713(__init__)
      118    0.000    0.000    0.000    0.000 opcode.py:39(def_op)
        1    0.000    0.000    0.007    0.007 platform.py:10(<module>)
        1    0.000    0.000    0.003    0.003 subprocess.py:42(<module>)
       12    0.000    0.000    0.001    0.000 __init__.py:2923(_reload_version)
      108    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
       18    0.000    0.000    0.000    0.000 re.py:324(_subx)
       96    0.000    0.000    0.000    0.000 pyparsing.py:458(__bool__)
        1    0.000    0.000    0.000    0.000 array.py:162(SparseArray)
       40    0.000    0.000    0.000    0.000 base.py:3765(_make_invalid_op)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1075(_make_netmask)
        1    0.000    0.000    0.001    0.001 argparse.py:1600(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:62(<module>)
       36    0.000    0.000    0.000    0.000 getlimits.py:69(<lambda>)
        1    0.000    0.000    0.000    0.000 pickle.py:986(_Unpickler)
        1    0.000    0.000    0.001    0.001 distribution.py:15(<module>)
       16    0.000    0.000    0.000    0.000 util.py:1027(__call__)
        1    0.000    0.000    0.002    0.002 gen_candidate_sampling_ops.py:4(<module>)
        1    0.000    0.000    0.000    0.000 gfile.py:16(<module>)
        1    0.000    0.000    0.001    0.001 script_ops.py:19(<module>)
        1    0.000    0.000    0.001    0.001 session.py:16(<module>)
       32    0.000    0.000    0.000    0.000 variables.py:693(_OverloadOperator)
        4    0.000    0.000    0.000    0.000 deprecation.py:190(_get_deprecated_positional_arguments)
        1    0.000    0.000    0.003    0.003 nodes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 sql.py:5(<module>)
        1    0.000    0.000    0.000    0.000 html.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _style.py:3(<module>)
       27    0.000    0.000    0.000    0.000 pyparsing.py:4259(__init__)
       12    0.000    0.000    0.001    0.000 fontconfig_pattern.py:119(parse)
       11    0.000    0.000    0.000    0.000 nanops.py:44(__init__)
       97    0.000    0.000    0.000    0.000 pyparsing.py:4781(<genexpr>)
        1    0.000    0.000    0.001    0.001 ntpath.py:6(<module>)
        4    0.000    0.000    0.000    0.000 inspect.py:2176(_signature_from_callable)
        1    0.000    0.000    0.001    0.001 dis.py:1(<module>)
        1    0.000    0.000    0.003    0.003 header.py:5(<module>)
        1    0.000    0.000    0.000    0.000 lzma.py:9(<module>)
       31    0.000    0.000    0.000    0.000 version.py:302(__init__)
        3    0.000    0.000    0.000    0.000 sre_parse.py:876(parse_template)
        9    0.000    0.000    0.000    0.000 contextlib.py:59(__init__)
        1    0.000    0.000    0.000    0.000 os.py:44(<listcomp>)
        3    0.000    0.000    0.000    0.000 _version.py:7(<module>)
       68    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      208    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
        4    0.000    0.000    0.000    0.000 {built-in method posix.close}
        1    0.000    0.000    0.000    0.000 common.py:2(<module>)
       10    0.000    0.000    0.000    0.000 generic.py:258(set_axis)
        1    0.000    0.000    0.000    0.000 datetimelike.py:125(DatetimeIndexOpsMixin)
       10    0.000    0.000    0.000    0.000 offsets.py:106(apply_index_wraps)
       12    0.000    0.000    0.000    0.000 ops.py:1249(_flex_comp_method_FRAME)
       12    0.000    0.000    0.000    0.000 printing.py:186(as_escaped_unicode)
      101    0.000    0.000    0.000    0.000 ssl.py:144(<lambda>)
      188    0.000    0.000    0.000    0.000 ipaddress.py:550(__int__)
        7    0.000    0.000    0.000    0.000 six.py:195(load_module)
       18    0.000    0.000    0.000    0.000 core.py:993(__init__)
       26    0.000    0.000    0.000    0.000 core.py:6553(__init__)
        1    0.000    0.000    0.000    0.000 _polybase.py:19(ABCPolyBase)
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:365(__getitem__)
       30    0.000    0.000    0.000    0.000 numerictypes.py:432(_add_array_type)
        1    0.000    0.000    0.000    0.000 pandas_compat.py:18(<module>)
        1    0.000    0.000    0.000    0.000 <string>:5(StepStatsAnalysis)
        1    0.000    0.000    0.000    0.000 bijector_impl.py:15(<module>)
        1    0.000    0.000    0.001    0.001 bernoulli.py:15(<module>)
        1    0.000    0.000    0.000    0.000 normalization.py:18(<module>)
        1    0.000    0.000    0.006    0.006 head.py:15(<module>)
        1    0.000    0.000    0.001    0.001 rnn_cell_impl.py:22(<module>)
        1    0.000    0.000    0.000    0.000 summary_iterator.py:16(<module>)
        1    0.000    0.000    0.001    0.001 gen_image_ops.py:4(<module>)
        1    0.000    0.000    0.009    0.009 importer.py:16(<module>)
       26    0.000    0.000    0.000    0.000 op_def_library.py:266(__init__)
        4    0.000    0.000    0.000    0.000 tf_inspect.py:32(getargspec)
       35    0.000    0.000    0.000    0.000 ops.py:68(_override_helper)
        1    0.000    0.000    0.004    0.004 descriptor.py:33(<module>)
       58    0.000    0.000    0.000    0.000 _make.py:1363(<genexpr>)
        5    0.000    0.000    0.000    0.000 _depr_module.py:26(__init__)
        1    0.000    0.000    0.000    0.000 sorting.py:1(<module>)
      159    0.000    0.000    0.000    0.000 expr.py:197(_node_not_implemented)
       13    0.000    0.000    0.000    0.000 pyparsing.py:3810(__str__)
       97    0.000    0.000    0.000    0.000 pyparsing.py:4810(<genexpr>)
